decimalLatitude,decimalLongitude,Year,August,July,June,May,April,March,SeptBefore,AugustBefore,JulyBefore,JuneBefore,T_August,T_July,T_June,T_May,T_April,T_March,T_SeptBefore,T_AugustBefore,T_JulyBefore,T_JuneBefore
51.1356,-2.0386,1992,MONTH_1992-08-16,MONTH_1992-07-16,MONTH_1992-06-16,MONTH_1992-05-16,MONTH_1992-04-16,MONTH_1992-03-16,MONTH_1991-09-16,MONTH_1991-08-16,MONTH_1991-07-16,MONTH_1991-06-16,15.127209817557691,16.022530194480996,15.352087586763481,12.996630555331981,8.053174779175608,7.125497153251842,14.667864285116082,16.464882637921257,16.215030368025854,11.94979811614973
50.9721,-2.1677,1978,MONTH_1978-08-16,MONTH_1978-07-16,MONTH_1978-06-16,MONTH_1978-05-16,MONTH_1978-04-16,MONTH_1978-03-16,MONTH_1977-09-16,MONTH_1977-08-16,MONTH_1977-07-16,MONTH_1977-06-16,14.877695019163033,14.758092053995668,13.422065839392312,11.287151511286416,6.2001534090309285,6.485105971184024,12.803075457728893,15.141264340428776,15.92688053400088,11.96423833352776
50.4543,-4.9978,1969,MONTH_1969-08-16,MONTH_1969-07-16,MONTH_1969-06-16,MONTH_1969-05-16,MONTH_1969-04-16,MONTH_1969-03-16,MONTH_1968-09-16,MONTH_1968-08-16,MONTH_1968-07-16,MONTH_1968-06-16,15.646330533688934,15.678836204051331,13.83869154680019,10.673345973356387,8.572993445034736,5.842906416788502,13.948000336848246,15.891504795019689,14.722019827109452,13.830794191709545
51.1835,-2.1066,1978,MONTH_1978-08-16,MONTH_1978-07-16,MONTH_1978-06-16,MONTH_1978-05-16,MONTH_1978-04-16,MONTH_1978-03-16,MONTH_1977-09-16,MONTH_1977-08-16,MONTH_1977-07-16,MONTH_1977-06-16,14.470251278323326,14.405888092163798,13.294318930387636,11.03436742276943,5.939666562453646,6.29314397462603,12.60109179531342,14.72901739455692,15.490114539502283,11.74233604096614
51.1269,-2.097,1987,MONTH_1987-08-16,MONTH_1987-07-16,MONTH_1987-06-16,MONTH_1987-05-16,MONTH_1987-04-16,MONTH_1987-03-16,MONTH_1986-09-16,MONTH_1986-08-16,MONTH_1986-07-16,MONTH_1986-06-16,15.38957388149173,15.569025736260567,12.947521028132671,10.01811404933995,9.377858720306877,4.1738546958415625,10.827810623573622,13.28889585011052,15.300044653444111,14.565546185310854
50.4543,-4.9978,1976,MONTH_1976-08-16,MONTH_1976-07-16,MONTH_1976-06-16,MONTH_1976-05-16,MONTH_1976-04-16,MONTH_1976-03-16,MONTH_1975-09-16,MONTH_1975-08-16,MONTH_1975-07-16,MONTH_1975-06-16,17.89738410824682,17.052232762763843,15.867167554823917,11.073829238462316,8.166483048351951,6.200572383978931,13.259758891481495,17.17372249391778,16.60048172842698,14.576007526784258
50.2518,-4.8184,1991,MONTH_1991-08-16,MONTH_1991-07-16,MONTH_1991-06-16,MONTH_1991-05-16,MONTH_1991-04-16,MONTH_1991-03-16,MONTH_1990-09-16,MONTH_1990-08-16,MONTH_1990-07-16,MONTH_1990-06-16,16.313283408392525,15.47719418390266,12.55719970984248,11.355544696351549,8.323237365271106,8.396103203849954,14.333303410581298,17.220895589217324,16.427735552546157,13.38815414148783
51.2463,-1.9922,1990,MONTH_1990-08-16,MONTH_1990-07-16,MONTH_1990-06-16,MONTH_1990-05-16,MONTH_1990-04-16,MONTH_1990-03-16,MONTH_1989-09-16,MONTH_1989-08-16,MONTH_1989-07-16,MONTH_1989-06-16,18.00529747222473,16.99777360350585,13.446774349197224,12.799628819110016,7.94145809507909,8.081868920223522,14.917801768479618,16.676808706122188,18.55717292191399,14.76321042285488
51.0936,-2.1291,1986,MONTH_1986-08-16,MONTH_1986-07-16,MONTH_1986-06-16,MONTH_1986-05-16,MONTH_1986-04-16,MONTH_1986-03-16,MONTH_1985-09-16,MONTH_1985-08-16,MONTH_1985-07-16,MONTH_1985-06-16,13.28889585011052,15.300044653444111,14.565546185310854,10.065790923042321,5.247620906446364,4.669342816151834,14.01219199764355,14.137193422077514,15.61337694901861,12.682141030008085
51.2046,-2.1811,1973,MONTH_1973-08-16,MONTH_1973-07-16,MONTH_1973-06-16,MONTH_1973-05-16,MONTH_1973-04-16,MONTH_1973-03-16,MONTH_1972-09-16,MONTH_1972-08-16,MONTH_1972-07-16,MONTH_1972-06-16,16.49245793239958,15.091360585361818,14.371391657463962,10.778540418781715,6.871614601814825,5.615006408528041,11.56427413336693,14.75161820591747,15.021232808991696,11.075863599250708
51.0936,-2.1291,1988,MONTH_1988-08-16,MONTH_1988-07-16,MONTH_1988-06-16,MONTH_1988-05-16,MONTH_1988-04-16,MONTH_1988-03-16,MONTH_1987-09-16,MONTH_1987-08-16,MONTH_1987-07-16,MONTH_1987-06-16,14.489499586817056,13.988418768895102,14.238547150277157,11.529165194417482,7.592078205978939,6.406341406350848,13.67976057465099,15.38957388149173,15.569025736260567,12.947521028132671
51.0936,-2.1291,1990,MONTH_1990-08-16,MONTH_1990-07-16,MONTH_1990-06-16,MONTH_1990-05-16,MONTH_1990-04-16,MONTH_1990-03-16,MONTH_1989-09-16,MONTH_1989-08-16,MONTH_1989-07-16,MONTH_1989-06-16,17.487494057709576,16.71831315322412,13.28509478951387,12.50658721170288,7.546976364881386,7.802876380185983,14.555582123879296,16.20850143739391,18.14583548742535,14.543202067279939
51.0936,-2.1291,1987,MONTH_1987-08-16,MONTH_1987-07-16,MONTH_1987-06-16,MONTH_1987-05-16,MONTH_1987-04-16,MONTH_1987-03-16,MONTH_1986-09-16,MONTH_1986-08-16,MONTH_1986-07-16,MONTH_1986-06-16,15.38957388149173,15.569025736260567,12.947521028132671,10.01811404933995,9.377858720306877,4.1738546958415625,10.827810623573622,13.28889585011052,15.300044653444111,14.565546185310854
51.7961,-0.6559,1899,MONTH_1899-08-16,MONTH_1899-07-16,MONTH_1899-06-16,MONTH_1899-05-16,MONTH_1899-04-16,MONTH_1899-03-16,MONTH_1898-09-16,MONTH_1898-08-16,MONTH_1898-07-16,MONTH_1898-06-16,17.9049502388409,17.690512886672956,14.984032845199625,9.906202237840736,7.828605142644509,4.208912581261357,15.191721833960266,16.67468931041014,15.253552889019051,13.219836453573425
