variable,mean,median,sd,mad,q5,q95,q16.7,q83.3,Sp
b_Intercept,4.379548264863753,4.6343538115233756,3.070698581838297,2.0877013920301066,-0.9448925229624328,8.560983850516143,2.243211299247123,6.657383894945593,Apatura iris
b_YearRescale,-0.10181965430888833,-0.10160407913048168,0.03997008459540838,0.04074703096862681,-0.16702163003466336,-0.036772820478531004,-0.14071068977053103,-0.06254800766144085,Apatura iris
b_Temp,-0.014080050498270566,-0.014088132328147452,0.003991705162368826,0.0038882725253906398,-0.020728898991320667,-0.00761262065498149,-0.01795661184192996,-0.010164602540146402,Apatura iris
b_Latitude,-0.011334658655502311,-0.016337089773019765,0.05951787222137319,0.04061021863410913,-0.092729285517877,0.09236524901103388,-0.05502085929964521,0.029555654439762307,Apatura iris
b_Sexmale,-0.07423247971839514,-0.07427927045704094,0.01194104414656379,0.011943817282606059,-0.09410128320220056,-0.054770857021478166,-0.08576497815025157,-0.06279775408798868,Apatura iris
b_Sexundetermined,-0.023882219342247896,-0.023647973602057497,0.015004659989065586,0.014731849058498607,-0.04834171179127324,3.575922586434278e-4,-0.038519326875210834,-0.009802256058114661,Apatura iris
sdgp_gpScale_LatScale_Long,0.07402023363462454,0.055508955161147545,0.05791753438571822,0.02366903723187311,0.02879841196525899,0.18752840806444251,0.03802166640122381,0.10265902239671224,Apatura iris
lscale_gpScale_LatScale_Long,0.16086452801494192,0.058139172329633296,0.23097087508185185,0.05313170521711,0.01735742763225265,0.6040144552205725,0.025755993950995523,0.3292660311025431,Apatura iris
sigma,0.05507920905763995,0.05489877315255563,0.004026122658494878,0.003978055252811266,0.04867925032763302,0.061933138726156495,0.051146465774589984,0.058875168484537804,Apatura iris
Intercept,3.5615699373177736,3.5679656734281275,0.05463541218757997,0.02846868674954768,3.465311656687781,3.622936755446657,3.5354568834553746,3.59521176199968,Apatura iris
zgp_gpScale_LatScale_Long[1],0.1290853440983987,0.0856606051809925,0.6705854754030355,0.6281262912499488,-0.862116422798279,1.335637960958469,-0.485756751133955,0.7361124159925503,Apatura iris
zgp_gpScale_LatScale_Long[2],0.42081801430493815,0.4137688281435458,0.659915834074896,0.6477269228832394,-0.6550538668937519,1.507561932902713,-0.19309365777530957,1.0400547430756306,Apatura iris
zgp_gpScale_LatScale_Long[3],-1.2370035875484966,-1.2371386628101186,0.6262744200934152,0.632560689038486,-2.273640277973007,-0.24639263848612053,-1.8396719465654892,-0.6152297610977155,Apatura iris
zgp_gpScale_LatScale_Long[4],-0.43062375136576275,-0.4590531039919628,0.7780470011548339,0.7453362280257578,-1.6633305966241543,0.8846039338531618,-1.1601048749019935,0.3113079426540538,Apatura iris
zgp_gpScale_LatScale_Long[5],0.32520415112445894,0.383704795211251,0.9164335133162225,0.8411577361544672,-1.360269612157595,1.7201737228148217,-0.5310981853099754,1.1794851945306655,Apatura iris
zgp_gpScale_LatScale_Long[6],0.1901059466059905,0.21509116013012003,0.8450292728158365,0.8568975546063665,-1.2275365598892038,1.5341073865495303,-0.6400366323937245,1.0268433801952654,Apatura iris
zgp_gpScale_LatScale_Long[7],-0.35505488788038736,-0.35526563705995995,0.7978543833761238,0.7604506255667153,-1.672616188001249,0.985074517701836,-1.0947065476422742,0.3870911139714359,Apatura iris
zgp_gpScale_LatScale_Long[8],0.045017468016945,0.05191346722098231,0.8939510158029749,0.88676050144074,-1.4512871374751781,1.4699029644987471,-0.8174295673400613,0.9021611714722483,Apatura iris
zgp_gpScale_LatScale_Long[9],-0.8216579938653914,-0.8225850923657279,0.8345047798149752,0.8232187884043797,-2.2058936390132353,0.539629591701936,-1.6068872491379982,-0.01928383030054187,Apatura iris
zgp_gpScale_LatScale_Long[10],0.3010730173310323,0.29601579441082926,0.8438362054559243,0.8439292300463838,-1.0495666840783109,1.7022755024202507,-0.5028415993180018,1.083421591279859,Apatura iris
zgp_gpScale_LatScale_Long[11],0.41108495276572005,0.42120866640253984,0.8719038569624489,0.8491478311244517,-1.0207928805240127,1.8312989644726745,-0.40605622306759026,1.2328643590578168,Apatura iris
zgp_gpScale_LatScale_Long[12],0.08502474035260138,0.11016875917357798,0.9078729727266532,0.888363187150927,-1.4483039309053072,1.5215963075373955,-0.7639230289693641,0.9579407918370625,Apatura iris
zgp_gpScale_LatScale_Long[13],0.39804982230611347,0.42154889572067167,0.8479078873295264,0.8132084526234055,-1.0481847459631148,1.7224932882298545,-0.38205225819563815,1.2039715516800298,Apatura iris
zgp_gpScale_LatScale_Long[14],-0.6710215256031613,-0.7439270660317863,0.9493651868738613,0.9156815408660278,-2.151934444428012,1.012972662656063,-1.5498777512468678,0.2369573035157516,Apatura iris
zgp_gpScale_LatScale_Long[15],0.3623550932035259,0.44795009388088214,0.8836569917921627,0.8009308168403524,-1.269239888179196,1.6875380057183236,-0.4608247856786557,1.16673710492816,Apatura iris
