variable,mean,median,sd,mad,q5,q95,q2.5,q16.7,q83.3,q97.5,Sp,Sex
b_Intercept,3.4251209523162416,3.4194822548455814,0.3449839330873598,0.3561010386421701,2.864857108367629,3.9970809728434302,2.754291357806331,3.0927639509993945,3.7661798019155626,4.107402088460027,Aglais io,female
b_YearRescale,-2.721940537991063e-4,-7.910980460870728e-5,0.01659041955255104,0.01642347813425499,-0.027690211121009382,0.026918359288054097,-0.0327883730560399,-0.016457649800770958,0.015352085755452771,0.032853938312417987,Aglais io,female
b_Temp,0.002038596605691947,0.0020826044003327366,0.003643173523510217,0.00361531733074074,-0.003894341444871548,0.008029210917731226,-0.005073437173939034,-0.0015339519003581175,0.005512884457747564,0.009408352011753822,Aglais io,female
b_Latitude,-0.002592305747445662,-0.0024978542479265975,0.006482646964221175,0.006558005819065997,-0.01340823366311467,0.007944041349793771,-0.01549974147598602,-0.008992586007099578,0.0036956068260210044,0.009956723691486695,Aglais io,female
sigma,0.07460352280054164,0.07453247081452322,0.0024852026531495437,0.0024698555214792616,0.07066590445876929,0.07875893082241757,0.06994806616325262,0.07222821152844977,0.07704369353989038,0.07970517877962437,Aglais io,female
Intercept,3.320939090524183,3.3209172556828204,0.0035203061455509146,0.0035367965997915476,3.3151744478837806,3.326730783671511,3.314157293176483,3.31750051191261,3.324431631468976,3.327755038441415,Aglais io,female
lprior,-3.1418543139398607,-3.1418514391972545,4.3274728047282075e-5,4.2349396344987684e-5,-3.141929594229622,-3.14178766004534,-3.1419443177668196,-3.141895309706094,-3.1418131111954866,-3.1417762275090535,Aglais io,female
lp__,536.4495128816569,536.7928114365016,1.624851921529352,1.4127492502088292,533.3730655893928,538.3811681272604,532.3581920407845,535.000733188091,537.9175670272016,538.580469922133,Aglais io,female
b_Intercept,3.6310392692919513,3.6331035218463548,0.21055304493111496,0.2107345133188319,3.279135306753901,3.972886272716173,3.218676151576701,3.4270186691464533,3.833101091825239,4.045402944150869,Aglais urticae,female
b_YearRescale,-0.016283739583556816,-0.016353760713621587,0.01037844079585534,0.010267222213928697,-0.033639980402459385,5.918104397902435e-4,-0.03728550465421907,-0.026195177177589762,-0.006209694874320444,0.003714079321778902,Aglais urticae,female
b_Temp,0.0013573259518869648,0.0013493597971792899,0.0020361429069422807,0.0020488359223869317,-0.001973761136501309,0.004729697577421366,-0.002634713009475659,-5.985737577679701e-4,0.003316003985414287,0.005381350550652451,Aglais urticae,female
b_Latitude,-0.009730127290122171,-0.00974337935150709,0.003890621675022182,0.0038527483057354327,-0.016056211338172477,-0.0032473663209104174,-0.017375455442609412,-0.013474289146524087,-0.00591756892020756,-0.0021176829100015265,Aglais urticae,female
sigma,0.06587535793134353,0.065852346751506,0.0015602475593824848,0.0015807540921945456,0.06336621518147717,0.06845116871331153,0.06292221221664654,0.06436673301968569,0.06737952520999647,0.06897104838148543,Aglais urticae,female
