rowname,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,Sp
ORIG_MF,0,0,114.60695687997769,4.7765564448391675,4.158095764616225,0.49286605605640255,-229.21391375995537,9.553112889678335,Aglais io
SPATIAL_MF,-0.8507627513811071,0.4227061937977491,113.75619412859658,4.752091685705963,5.833946745393947,0.6646136034642376,-227.51238825719315,9.504183371411926,Aglais io
ORIG_MF,0,0,47.71671205145038,4.262271240769097,4.308539851102635,1.0442487644840184,-95.43342410290076,8.524542481538194,Aglais urticae
SPATIAL_MF,-0.30856079445407225,0.6532398590903102,47.40815125699632,4.231091264121744,6.351363976476071,1.317879093908256,-94.81630251399264,8.462182528243488,Aglais urticae
ORIG_MF,0,0,72.60025772643411,8.234886767060472,5.890253291993832,1.654503650786565,-145.20051545286822,16.469773534120943,Anthocharis cardamines
SPATIAL_MF,-1.2172962590770569,0.2938840036359524,71.38296146735706,8.35825354136569,7.215125472109355,1.9396620060588134,-142.76592293471413,16.71650708273138,Anthocharis cardamines
SPATIAL_MF,0,0,147.34147608154333,7.303278297063962,11.303291016562897,1.8879587915886151,-294.68295216308667,14.606556594127923,Argynnis paphia
ORIG_MF,-2.264974736609524,3.0127246842935484,145.07650134493375,6.582585218381735,5.8178585563965965,0.976214037170844,-290.1530026898675,13.16517043676347,Argynnis paphia
ORIG_MF,0,0,48.64097836530573,4.359591380018375,4.771317749690502,1.4155444561392372,-97.28195673061145,8.71918276003675,Aricia agestis
SPATIAL_MF,-0.040721849873407656,0.9172370174172951,48.600256515432335,4.384803852339471,7.1003473101087256,1.8288609341818787,-97.20051303086467,8.769607704678942,Aricia agestis
SPATIAL_MF,0,0,27.976091555143324,5.11212251735081,10.256167745507689,3.472731740129949,-55.95218311028665,10.22424503470162,Celastrina argiolus
ORIG_MF,-1.0335030318626854,2.148975295272713,26.94258852328064,5.224228123178013,6.6375084061899345,2.690690509714207,-53.88517704656128,10.448456246356026,Celastrina argiolus
SPATIAL_MF,0,0,82.19497746756078,4.045232122169275,8.600942457418896,1.578998941921333,-164.38995493512155,8.09046424433855,Coenonympha tullia
ORIG_MF,-6.507729812954803,4.043545776327687,75.68724765460597,5.691286050157719,5.539723244786033,1.620979303545554,-151.37449530921194,11.382572100315437,Coenonympha tullia
SPATIAL_MF,0,0,117.18933644496116,8.020803261739678,14.39643540237655,2.42350196385169,-234.3786728899223,16.041606523479356,Cupido minimus
ORIG_MF,-7.15782116658295,4.044269282757945,110.0315152783782,6.738315010817497,6.001314472073969,1.0399299581740393,-220.0630305567564,13.476630021634994,Cupido minimus
ORIG_MF,0,0,133.57518596883662,6.659888881198837,5.01282853577637,1.0903327988813214,-267.15037193767324,13.319777762397674,Erynnis tages
SPATIAL_MF,-0.42995784302167017,1.004085624138375,133.14522812581498,6.527732357761992,8.85975324868653,1.4895566229182164,-266.29045625162996,13.055464715523984,Erynnis tages
SPATIAL_MF,0,0,117.52049703098416,9.778677212499316,12.004262619126617,3.0123997176884423,-235.04099406196832,19.557354424998632,Favonius quercus
ORIG_MF,-0.9153460392716797,1.8275400664803645,116.6051509917125,9.601322993505347,6.91826556424125,1.8771701625630701,-233.210301983425,19.202645987010694,Favonius quercus
ORIG_MF,0,0,150.451395964047,5.050425308572199,5.40523837756855,0.7391944759240903,-300.902791928094,10.100850617144397,Gonepteryx rhamni
SPATIAL_MF,-0.415044616190853,0.9108794345486692,150.03635134785617,5.289217138000242,7.926618983745857,1.1157617383453475,-300.07270269571234,10.578434276000484,Gonepteryx rhamni
SPATIAL_MF,0,0,159.08040974824738,5.823301327304348,8.555937933723659,1.0073191023876225,-318.16081949649475,11.646602654608696,Hesperia comma
ORIG_MF,-0.3507674433544983,1.536212413859258,158.72964230489293,5.83881175245399,5.455606331431045,0.6764573753222433,-317.45928460978587,11.67762350490798,Hesperia comma
ORIG_MF,0,0,116.81916207552722,6.3907572821221486,5.998896467832885,1.3828469453639283,-233.63832415105443,12.781514564244297,Lasiommata megera
SPATIAL_MF,-0.5550980184798631,0.608408689726226,116.2640640570474,6.514451992693837,9.314566040372288,1.8489460416721397,-232.5281281140948,13.028903985387673,Lasiommata megera
SPATIAL_MF,0,0,122.74225361735188,5.664432222491437,7.869607311430658,1.1115227075134964,-245.48450723470376,11.328864444982875,Leptidea sinapis
ORIG_MF,-0.2829302850243032,1.243128635912326,122.4593233323276,5.501175853232242,5.287713156542522,0.7968749118104501,-244.9186466646552,11.002351706464484,Leptidea sinapis
