rowname,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,Sp
SPATIAL_MF,0,0,620.3834438272808,16.551996906412732,51.99613229569336,3.4331568860356967,-1240.7668876545615,33.103993812825465,Aglais io
ORIG_MF,-31.28733791762228,8.17335657293054,589.0961059096585,15.877139648863306,7.3115225378993545,0.7564469698213939,-1178.192211819317,31.75427929772661,Aglais io
SPATIAL_MF,0,0,1269.459890880594,24.341310023927246,65.1593484271214,3.7747107529158694,-2538.919781761188,48.68262004785449,Aglais urticae
ORIG_MF,-38.81892237605378,8.699345209623356,1230.6409685045398,24.460508076212598,8.75041573858814,0.8176333150235525,-2461.2819370090797,48.921016152425196,Aglais urticae
SPATIAL_MF,0,0,1880.0149052645324,37.2719728098013,92.47443930277844,5.208301850447042,-3760.029810529065,74.5439456196026,Anthocharis cardamines
ORIG_MF,-36.658740103772246,9.29953104742177,1843.3561651607604,36.637990988051826,7.466888566631211,0.481098726658354,-3686.7123303215208,73.27598197610365,Anthocharis cardamines
SPATIAL_MF,0,0,175.80859418029698,8.07557251431456,15.394838822025596,2.5629793590978065,-351.61718836059396,16.15114502862912,Apatura iris
ORIG_MF,-9.209359412481056,4.1520416127746955,166.59923476781591,8.54630797489466,7.0772513540756625,1.4125959862061648,-333.19846953563183,17.09261594978932,Apatura iris
SPATIAL_MF,0,0,3101.93806358479,37.36988967414135,52.401880632571554,2.0025500855217637,-6203.87612716958,74.7397793482827,Aphantopus hyperantus
ORIG_MF,-40.99932804829793,9.478952485247914,3060.9387355364947,36.76553920146721,6.607932268308753,0.34841497397779303,-6121.8774710729895,73.53107840293443,Aphantopus hyperantus
SPATIAL_MF,0,0,2298.600536147034,30.442039340220877,46.57831558937197,5.41729541766472,-4597.201072294068,60.88407868044175,Argynnis paphia
ORIG_MF,-95.47148426885303,13.739063676066102,2203.129051878183,29.928696884392217,7.191100758003045,0.4465917371567009,-4406.258103756366,59.85739376878443,Argynnis paphia
SPATIAL_MF,0,0,1227.7537517880032,25.896246428098166,41.57515116382101,3.1695218887912153,-2455.5075035760065,51.79249285619633,Aricia agestis
ORIG_MF,-22.42345628073875,6.677769731226924,1205.3302955072647,25.00435556533465,7.879793051617039,0.7062493153575041,-2410.6605910145295,50.0087111306693,Aricia agestis
SPATIAL_MF,0,0,2963.4637213928613,29.73494018952586,67.35688867817788,2.828457846005068,-5926.927442785723,59.46988037905172,Boloria euphrosyne
ORIG_MF,-35.011499031978694,8.378599240804805,2928.452222360891,29.111081438164785,6.564051590247308,0.31754215446006606,-5856.904444721782,58.22216287632957,Boloria euphrosyne
SPATIAL_MF,0,0,2749.7025381068265,36.17171752956042,88.55885751947143,4.684389506621227,-5499.405076213653,72.34343505912084,Boloria selene
ORIG_MF,-125.41807770606769,16.124643281102415,2624.2844604007564,35.531016739920545,7.294589209109654,0.42023696336215294,-5248.568920801513,71.06203347984109,Boloria selene
SPATIAL_MF,0,0,1473.3352767876784,22.958062715134677,62.79015088311939,4.326411634081705,-2946.6705535753567,45.916125430269354,Callophrys rubi
ORIG_MF,-36.58283864847995,9.423090184863673,1436.7524381391993,23.14110919117304,7.150753936749997,0.44423761294733083,-2873.5048762783986,46.28221838234608,Callophrys rubi
SPATIAL_MF,0,0,944.3092887930749,15.315506074595943,29.520103976431542,1.9811192182129662,-1888.6185775861497,30.631012149191886,Carterocephalus palaemon
ORIG_MF,-17.114355753225574,5.622788698573658,927.1949330398487,15.141700412509742,6.73366375894791,0.44370440466879807,-1854.3898660796974,30.283400825019484,Carterocephalus palaemon
SPATIAL_MF,0,0,408.3489328130964,13.37477023415546,31.341686843909304,3.080070101915361,-816.6978656261928,26.74954046831092,Celastrina argiolus
ORIG_MF,-4.604370825198786,3.884063285655354,403.74456198789755,12.684089832014946,6.78862197046861,0.7692367380181514,-807.4891239757951,25.368179664029892,Celastrina argiolus
SPATIAL_MF,0,0,4099.68931020266,42.74364453353845,81.53371417642676,3.5295955178993803,-8199.37862040532,85.4872890670769,Coenonympha pamphilus
ORIG_MF,-129.2050774415684,17.18035234960034,3970.484232761088,43.78817251979521,7.340157030727453,0.3123424685941098,-7940.968465522176,87.57634503959042,Coenonympha pamphilus
SPATIAL_MF,0,0,2441.9488473728743,25.053556244581365,18.18879149676191,1.115453549848196,-4883.897694745749,50.10711248916273,Coenonympha tullia
ORIG_MF,-31.83833393679034,8.075241287922253,2410.1105134360846,23.857788125610135,6.764448746510759,0.3028558077414028,-4820.221026872169,47.71557625122027,Coenonympha tullia
SPATIAL_MF,0,0,1746.9387837649217,30.114520272990177,42.32981539487251,2.0680768195036,-3493.8775675298434,60.229040545980354,Cupido minimus
ORIG_MF,-21.62446668241636,6.559167191557357,1725.3143170825042,29.71870231170116,7.125667849729429,0.39522024166753666,-3450.6286341650084,59.43740462340232,Cupido minimus
SPATIAL_MF,0,0,1269.8647625044298,22.011876346823875,80.06917290499912,4.37710583771661,-2539.7295250088596,44.02375269364775,Erynnis tages
ORIG_MF,-48.55179901021361,9.85538433957503,1221.3129634942172,21.570311472847305,7.457559347349053,0.5228885851320038,-2442.6259269884345,43.14062294569461,Erynnis tages
SPATIAL_MF,0,0,2070.7901786215166,29.98717408822641,63.12426769826366,2.4646130093411642,-4141.580357243033,59.97434817645282,Euphydryas aurinia
ORIG_MF,-77.92604923837828,11.987057202245518,1992.8641293831392,30.22484349134066,6.9259140538315345,0.2787327962383032,-3985.7282587662785,60.44968698268132,Euphydryas aurinia
SPATIAL_MF,0,0,1526.929636331655,22.90049473021134,21.92846503813132,1.3997692347127078,-3053.85927266331,45.80098946042268,Fabriciana adippe
ORIG_MF,-44.58886988232828,9.09416662386893,1482.3407664493275,21.923541240589124,6.876193912624275,0.3420132266747959,-2964.681532898655,43.84708248117825,Fabriciana adippe
SPATIAL_MF,0,0,717.9172630892206,18.277395199329362,40.66569524948089,3.6408657145781116,-1435.8345261784411,36.554790398658724,Favonius quercus
ORIG_MF,-19.756950180797258,6.552942003360147,698.1603129084223,17.600604200052874,6.57919005463884,0.5866504273978699,-1396.3206258168445,35.20120840010575,Favonius quercus
ORIG_MF,0,0,847.2416783920158,15.041437163647144,7.070490288792567,0.5794464160085094,-1694.4833567840317,30.082874327294288,Gonepteryx rhamni
SPATIAL_MF,-0.6716413284892226,0.568267232624751,846.570037063526,15.137518791089544,11.249232266901092,0.8654999623872077,-1693.140074127052,30.27503758217909,Gonepteryx rhamni
SPATIAL_MF,0,0,1606.0256039655808,20.238938243401133,33.867429651648784,1.9324208267589598,-3212.0512079311616,40.477876486802266,Hamearis lucina
ORIG_MF,-48.42911576333578,10.3671894168463,1557.5964882022474,20.3200764850204,6.784954478281969,0.3746822435069322,-3115.192976404495,40.6401529700408,Hamearis lucina
SPATIAL_MF,0,0,974.5270945629178,17.97471209495324,23.86681821812014,1.68104883526217,-1949.0541891258356,35.94942418990648,Hesperia comma
ORIG_MF,-52.18120577189012,9.564152313918008,922.3458887910268,17.852029370088516,6.96592043280293,0.4407170033666999,-1844.6917775820536,35.70405874017703,Hesperia comma
SPATIAL_MF,0,0,2223.149308453619,37.20873040867408,63.65491876509309,4.285040612626928,-4446.298616907238,74.41746081734816,Hipparchia semele
ORIG_MF,-183.80384007214371,18.3599411229344,2039.3454683814705,33.832091162565995,8.355603224474223,0.49100156121086685,-4078.690936762941,67.66418232513199,Hipparchia semele
SPATIAL_MF,0,0,1010.0218896592482,21.171290650122067,69.93451418018833,5.094251195147633,-2020.0437793184965,42.342581300244134,Lasiommata megera
ORIG_MF,-25.824915110492675,7.727851975248267,984.1969745487545,22.600388940891744,8.235237449558252,0.8052350360744418,-1968.393949097509,45.20077788178349,Lasiommata megera
SPATIAL_MF,0,0,1291.9032974684587,20.644729161622017,34.80746116813739,2.6792888076593258,-2583.8065949369175,41.289458323244034,Leptidea sinapis
ORIG_MF,-29.03125915456532,7.459532229416828,1262.872038313894,20.5840203412381,7.038700800160664,0.450815506646556,-2525.744076627788,41.1680406824762,Leptidea sinapis
SPATIAL_MF,0,0,1150.9064122161035,18.568255651778482,30.170407414047386,2.1961834805363933,-2301.812824432207,37.136511303556965,Limenitis camilla
ORIG_MF,-7.165450203999488,3.7065320308887677,1143.7409620121043,18.60469546735879,6.947904483162682,0.4507504621346876,-2287.4819240242086,37.20939093471758,Limenitis camilla
SPATIAL_MF,0,0,3768.0767334940383,49.57016906756938,72.09407840355482,3.0758653219689633,-7536.153466988077,99.14033813513876,Lycaena phlaeas
ORIG_MF,-22.309384860317508,7.2458314639919665,3745.767348633729,49.45896834568678,8.358081785790233,0.48660625193611784,-7491.534697267458,98.91793669137355,Lycaena phlaeas
SPATIAL_MF,0,0,6395.034880530019,70.57346657308798,134.9539377729049,5.13912886527867,-12790.069761060038,141.14693314617597,Maniola jurtina
ORIG_MF,-100.96750366490737,13.853282580284004,6294.067376865102,69.35846226946452,8.42110610684707,0.40745681576769827,-12588.134753730204,138.71692453892905,Maniola jurtina
SPATIAL_MF,0,0,2669.2999662232714,36.96713154815776,50.96034679677115,2.413011770501777,-5338.599932446543,73.93426309631552,Melanargia galathea
ORIG_MF,-29.255655668643776,7.652284899811297,2640.0443105546283,36.25557767181922,7.161614566666702,0.4670031324047663,-5280.088621109257,72.51115534363844,Melanargia galathea
SPATIAL_MF,0,0,2110.013942087302,28.915006890261832,28.79750552534793,2.1169343255423243,-4220.027884174604,57.830013780523664,Melitaea athalia
ORIG_MF,-35.3887386756175,8.681905978205194,2074.6252034116833,28.620451670444623,7.331566678643496,0.4186363026231438,-4149.250406823367,57.24090334088925,Melitaea athalia
SPATIAL_MF,0,0,688.8717898633656,19.068511618531915,9.644818194679278,0.7708966554561433,-1377.7435797267312,38.13702323706383,Melitaea cinxia
ORIG_MF,-0.18522736705767517,1.2348130652361748,688.6865624963079,19.270750238136166,7.191503618618176,0.578936619824698,-1377.3731249926159,38.54150047627233,Melitaea cinxia
ORIG_MF,0,0,225.99675036800645,9.281224511534441,7.099396056915574,1.070391784650969,-451.9935007360129,18.562449023068883,Nymphalis polychloros
SPATIAL_MF,-0.4631422835128767,0.4875941800491057,225.53360808449384,9.247032354641833,9.481781792600936,1.2243404856150113,-451.06721616898767,18.494064709283666,Nymphalis polychloros
SPATIAL_MF,0,0,1649.2194498990461,24.541966932256045,88.2455289348483,4.777104137219083,-3298.4388997980923,49.08393386451209,Ochlodes sylvanus
ORIG_MF,-39.16534949750693,8.678444747276522,1610.0541004015379,24.57227756337854,7.167825364213161,0.5107516930463724,-3220.1082008030758,49.14455512675708,Ochlodes sylvanus
SPATIAL_MF,0,0,205.85601635153643,8.98922828854102,11.347828919006833,2.5264393622492944,-411.71203270307285,17.97845657708204,Papilio machaon
ORIG_MF,-1.253148720049154,1.850652681779607,204.60286763148727,8.872085608233949,7.285110603248343,1.3068960929992661,-409.20573526297454,17.744171216467898,Papilio machaon
SPATIAL_MF,0,0,854.07266169632,15.402053303429723,51.00086085685861,4.420470915932186,-1708.14532339264,30.804106606859445,Pararge aegeria
ORIG_MF,-37.36226725130254,7.715961010882133,816.7103944450176,14.915395129338018,6.627254170655701,0.5057381771303266,-1633.4207888900353,29.830790258676036,Pararge aegeria
SPATIAL_MF,0,0,633.1938076239456,12.748570418243869,46.00541693135058,3.6285451771024917,-1266.3876152478913,25.497140836487738,Pieris brassicae
ORIG_MF,-13.969229555130457,5.811521828083289,619.2245780688156,12.442181574539276,6.622631356442923,0.5218881012516364,-1238.4491561376312,24.884363149078553,Pieris brassicae
SPATIAL_MF,0,0,1149.429446063756,22.243385014447615,19.679124792338627,1.428417369747908,-2298.858892127512,44.48677002889523,Pieris napi
ORIG_MF,-2.1829589696769887,2.2311280080672313,1147.2464870940778,22.141995027994994,6.943900902410546,0.6307472520140919,-2294.4929741881556,44.28399005598999,Pieris napi
SPATIAL_MF,0,0,641.1526212371512,24.346796736242016,20.643492182750542,2.8893392216512477,-1282.3052424743023,48.69359347248403,Pieris rapae
ORIG_MF,-0.11990415367809604,1.5737892251523775,641.032717083473,24.490407226100523,8.741732438678346,1.5047010134558385,-1282.065434166946,48.980814452201045,Pieris rapae
SPATIAL_MF,0,0,8925.6020974795,94.9348765986139,95.9291565233778,4.460490293682719,-17851.204194959,189.8697531972278,Plebejus argus
ORIG_MF,-1542.8369370519806,55.584653312769326,7382.76516042753,74.25039221861611,7.504411859433454,0.30692949741412046,-14765.53032085506,148.50078443723223,Plebejus argus
ORIG_MF,0,0,743.1803396364644,12.806340493940683,6.7255902676668065,0.40742096588345617,-1486.3606792729288,25.612680987881365,Polygonia c-album
SPATIAL_MF,-0.659242198835118,0.6145700436768016,742.5210974376287,12.77652567271826,10.928097466007124,0.649620653446614,-1485.0421948752573,25.55305134543652,Polygonia c-album
SPATIAL_MF,0,0,7954.129246541141,46.340689828096956,34.884955345362414,1.4817844175800627,-15908.258493082281,92.68137965619391,Polyommatus bellargus
