variable,mean,median,sd,mad,q5,q95,q2.5,q16.7,q83.3,q97.5,Sp,Sex
b_Temp,0.0018989401840272466,0.0019497313325110785,0.002481184939214318,0.0024524254582370354,-0.002217728928355318,0.005860253307986771,-0.003016724157993698,-4.765646692408346e-4,0.004303286498876565,0.0067834172571480285,Aphantopus hyperantus,male
b_Latitude,-0.011786681271887624,-0.011856392791992246,0.0042805444268725745,0.004195420436253879,-0.018777931526613147,-0.004794208486592359,-0.020181753988704944,-0.015838422229177602,-0.007663578126487252,-0.003315170749923065,Aphantopus hyperantus,male
sigma,0.052312109724751074,0.05226879035844517,0.001670338791368899,0.0016980673887816797,0.04962378577744959,0.05515296208116401,0.049239788085169024,0.05067970231122478,0.05394122129943066,0.05563832761138689,Aphantopus hyperantus,male
Intercept,3.0125939239675916,3.0126149554654402,0.0023918943292780275,0.002424682390757799,3.0085952418141177,3.0165587036172137,3.0078593329014716,3.0102988812086373,3.0148849025256137,3.017219751914656,Aphantopus hyperantus,male
lprior,-3.1423195156709736,-3.1423173929503085,4.866778099826221e-5,4.903585603934117e-5,-3.1424038313461056,-3.142241285833568,-3.1424201823005498,-3.142366329676875,-3.142272737297574,-3.1422298998502005,Aphantopus hyperantus,male
lp__,729.8585678525005,730.1723605101323,1.5874021407175614,1.4065239457535021,726.7266429029341,731.8085584862899,725.9044577307892,728.4832661472888,731.2932834063332,731.9690943930246,Aphantopus hyperantus,male
b_Intercept,3.3912488877088585,3.3874214682287107,0.2911608464334748,0.29647533443308655,2.9245275133293953,3.865520346290701,2.838641580335321,3.1032177340215252,3.68348153857925,3.9696954448649526,Argynnis paphia,male
b_YearRescale,2.5582139097994134e-4,1.3151861542542802e-4,0.009055064565826481,0.00894565291301767,-0.014790110499959165,0.014911495244269563,-0.017530618700871997,-0.008368863072666703,0.009048644256679991,0.017826258223206114,Argynnis paphia,male
b_Temp,-0.006238139757364298,-0.006246293917651691,0.0021691037253491374,0.002224109048186711,-0.009800485849397586,-0.0026632861806309897,-0.010334572232090734,-0.008375065304544611,-0.004156988075137926,-0.0019238080032104384,Argynnis paphia,male
b_Latitude,0.0018430253848257397,0.001913398261658067,0.005634479112780348,0.005760596507818153,-0.007419728448560564,0.010820501396911604,-0.009215243501356767,-0.003765807328981985,0.00740341292134388,0.01246860149186046,Argynnis paphia,male
sigma,0.04874028781816232,0.04868688991467289,0.0014466981826519094,0.001394260395494672,0.046378125286299005,0.05121207746789878,0.046026652592792976,0.047384032068210735,0.050168969190445625,0.05173215769752308,Argynnis paphia,male
Intercept,3.394656232014131,3.394652762700903,0.0020867642153936,0.0020611653896427952,3.3911759885475954,3.3981273783366217,3.3905387158379794,3.3926614303928715,3.396679056425399,3.3987487786528203,Argynnis paphia,male
lprior,-3.1507057154946887,-3.1507047733327265,1.3140744070342175e-4,1.295089474215703e-4,-3.1509284362688392,-3.150489985824836,-3.1509640279998883,-3.150832659144266,-3.150579219221628,-3.150448354996204,Argynnis paphia,male
lp__,866.3304573207457,866.6573570773106,1.5727755545436177,1.4396572367777962,863.2587915163213,868.2247532827138,862.4819273635246,864.900395547324,867.78682818856,868.4076166072616,Argynnis paphia,male
b_Intercept,2.934763848204436,2.935324627902757,0.13839269093961284,0.13522915370019115,2.7079431338525333,3.1596356517207176,2.6610541884539445,2.8020536964918668,3.064584434742666,3.20794238985108,Boloria euphrosyne,male
b_YearRescale,0.021405594102946547,0.021411155993103552,0.006789373406680137,0.0067303796091139415,0.01031720130165185,0.03245539877205125,0.008160039990443563,0.014892454936568452,0.028071289265525302,0.034464940596395384,Boloria euphrosyne,male
b_Temp,3.2189345032323954e-4,3.2599912425392203e-4,0.0011016420294195546,0.0011091506226660033,-0.0014827014069993573,0.0021132146896936372,-0.001817529448685848,-7.371259425607059e-4,0.0013927087299747103,0.0024338242423021144,Boloria euphrosyne,male
b_Latitude,5.222037211330976e-4,4.895891995533956e-4,0.002634247596929229,0.0025387582540624893,-0.0037931824331782636,0.004857567000132944,-0.004640745406657829,-0.0019306107116330627,0.0030275122780380453,0.005692602754788929,Boloria euphrosyne,male
sigma,0.050695413196490464,0.05069123344699987,9.092740842253635e-4,9.294079700993517e-4,0.049221508620063636,0.052191292626467024,0.04895095930507046,0.04980903631709693,0.0515882480711639,0.05251080497440163,Boloria euphrosyne,male
Intercept,2.992533740094722,2.9925268589664134,0.0012462177337272107,0.0012660338154079334,2.990500497727332,2.9946112127251747,2.9901779393795493,2.991298783318811,2.9937366018940095,2.994963746436677,Boloria euphrosyne,male
lprior,-3.1427178668658096,-3.1427177114159965,3.0191681388194406e-5,3.096538749809876e-5,-3.1427671375524153,-3.1426685239701566,-3.142776726165216,-3.1427475314759965,-3.1426883414744142,-3.142659356999854,Boloria euphrosyne,male
lp__,2470.774496864503,2471.103596468295,1.549559040824613,1.330362261641161,2467.833503744108,2472.647964141915,2466.982534173981,2469.4027537205598,2472.1643510349163,2472.7961388707463,Boloria euphrosyne,male
b_Intercept,1.5623111866357173,1.5600404986634304,0.15821223182353394,0.16249150386407096,1.3072387770097713,1.8263390169215417,1.2641877940462,1.407484543841297,1.7142667005184595,1.8727220269648306,Boloria selene,male
b_YearRescale,0.03686004294090857,0.036799975572800986,0.008420434561441745,0.008291027316678074,0.022913912357678163,0.05071864472314207,0.020468396890369212,0.028758218618411966,0.04507837368271123,0.053186842158188745,Boloria selene,male
b_Temp,-0.00303450004961521,-0.003052054525494521,0.0014178188519761881,0.001401820667944095,-0.005378231314976698,-7.198384016861028e-4,-0.00579065043147541,-0.004393123234489833,-0.0016700741836302854,-2.0256811382868324e-4,Boloria selene,male
b_Latitude,0.026564250219566873,0.02660747991659236,0.003031067975691709,0.0031063904856084737,0.02152441918636648,0.031479403376968175,0.020605159737102564,0.02362499183115298,0.02951960122333565,0.03226511166933325,Boloria selene,male
